W9999	W9998	W9997	W9996	W9995	W9994	W9993	W9992	W9991	W9630	W9400	W9304	W9303	W9302	W9300	W9200	W9001	W9000	W880	W868	W8500	W8361	W8351	W8324	W8318	W8300	W8200	W8113	W770	W720	W712	W701	W70	W6713	W6600	W6500	W647	W646	W643	W642	W6413	W641	W6400	W640	W64	W633	W632	W631	W6300	W630	W63	W628	W627	W626	W625	W624	W623	W622	W621	W6200	W620	W62	W617	W616	W6135	W6125	W6123	W6121	W6120	W6119	W6117	W6115	W6113	W6111	W6110	W6100	W610	W61	W603	W6000	W600	W60	W598	W59	W520	W52	W512	W51	W509	W505	W504	W502	W501	W500	W50	W4700	W4536	W4522	W4521	W4514	W4512	W4511	W4400	W4348	W4342	W4340	W4331	W4330	W4322	W4321	W4320	W4318	W4317	W4312	W4310	W4304	W43	W4220	W4212	W4211	W4210	W4200	W42	W410	W41	W4000	W400	W40	W3700	W361	W350	W341	W340	W3200	W320	W314	W313	W3100	W310	W31	W308	W307	W306	W304	W303	W302	W301	W300	W30	W2990	W2980	W2938	W2800	W2560	W2550	W2528	W2527	W2526	W2524	W2523	W2521	W2513	W2511	W241	W240	W23	W221	W220	W211	W2100	W204	W202	W201	W1930	W1827	W1823	W1810	W17	W169	W164	W1600	W160	W16	W1511	W1510	W143	W14	W123	W1224	W122	W1200	W12	W118	W114	W112	W110	W11	W10	TWwolffish	TWwelk	TWunknownivert	TWunknownfish	TWstarfish	TWsquid	TWsnakeblenny	TWskate	TWseasnail	TWseapen	TWsea urchins	TWsculpin	TWhake	TWgunnel	TWellpout	TWcrab	TWcod	TWclam	TWalligatorfish	TRAWLNUMshort	TRAWLNUM	TPwolffish	TPwelk	TPunknowninvert	TPunknownfish	TPstarfish	TPsquid	TPsnakeblenny	TPskate	TPseasnail	TPseapen	TPsea urchins	TPsculpin	TPhake	TPgunnel	TPellpout	TPcrab	TPcod	TPcockle	TPclam	TPalligatorish	timestamp	Temp_weight	Temp_count	TCwolffish	TCwelk	TCunknowninvert	TCunknownfish	TCstarfish	TCsquid	TCsnakeblenny	TCskate	TCseasnail	TCseapen	TCsea urchins	TCsculpin	TChake	TCgunnel	TCellpout	TCcrab	TCcod	TCcockle	TCclam	TCalligatorfish	SpeciesInfoLong	SpeciesInfo	P9999	P9998	P9997	P9996	P9995	P9994	P9993	P9992	P9991	P9630	P9400	P9304	P9303	P9302	P9300	P9200	P9001	P9000	P880	P868	P8500	P8361	P8351	P8324	P8318	P8300	P8200	P8113	P770	P720	P712	P701	P70	P6713	P6600	P6500	P647	P646	P643	P642	P6413	P641	P6400	P640	P64	P633	P632	P631	P6300	P630	P63	P628	P627	P626	P625	P624	P623	P622	P621	P6200	P620	P62	P617	P616	P6135	P6125	P6123	P6121	P6120	P6119	P6117	P6115	P6113	P6111	P6110	P6100	P610	P61	P603	P6000	P600	P60	P598	P59	P520	P52	P512	P51	P509	P505	P504	P502	P501	P500	P50	P4700	P4536	P4522	P4521	P4514	P4512	P4511	P4400	P4348	P4342	P4340	P4331	P4330	P4322	P4321	P4320	P4318	P4317	P4312	P4310	P4304	P43	P4220	P4212	P4211	P4210	P4200	P42	P410	P41	P4000	P400	P40	P3700	P361	P350	P341	P340	P3200	P320	P314	P313	P3100	P310	P31	P308	P307	P306	P304	P303	P302	P301	P300	P30	P2990	P2980	P2938	P2800	P2560	P2550	P2528	P2527	P2526	P2524	P2523	P2521	P2513	P2511	P241	P240	P23	P221	P220	P211	P2100	P204	P202	P201	P1930	P1827	P1823	P1810	P17	P169	P164	P1600	P160	P16	P1511	P1510	P143	P14	P123	P1224	P122	P1200	P12	P118	P114	P112	P110	P11	P10	Measure fish message for main menu	Measure fish message	Measure fish flag for main menu	Measure fish flag	Location	GPnum_wt_year	GPnum	g_filterText	Date_tow_num	DATE	dataentrybox weight	dataentrybox Townum	dataentrybox GPnum	dataentrybox count	dataentrybox comment	dataentrybox code	COMMENT	Code_entry	code_calc	class_data	C9999	C9998	C9997	C9996	C9995	C9994	C9993	C9992	C9991	C9630	C9400	C9303	C9302	C9304	C9300	C9200	C9001	C9000	C880	C868	C8500	C8361	C8351	C8324	C8318	C8300	C8200	C8113	C770	C720	C712	C701	C70	C6713	C6600	C6500	C647	C646	C643	C642	C6413	C641	C6400	C640	C64	C633	C632	C631	C6300	C630	C63	C628	C627	C626	C625	C624	C623	C622	C621	C6200	C620	C62	C617	C616	C6135	C6125	C6123	C6121	C6120	C6119	C6117	C6115	C6113	C6111	C6110	C6100	C610	C61	C603	C6000	C600	C60	C598	C59	C520	C52	C512	C51	C509	C505	C504	C502	C501	C500	C50	C4700	C4536	C4522	C4521	C4514	C4512	C4511	C4400	C4348	C4342	C4340	C4331	C4330	C4322	C4321	C4320	C4318	C4317	C4312	C4310	C4304	C43	C4220	C4212	C4211	C4210	C4200	C42	C410	C41	C4000	C400	C40	C3700	C361	C350	C341	C340	C3200	C320	C314	C313	C3100	C310	C31	C308	C307	C306	C304	C303	C302	C301	C300	C30	C2990	C2980	C2938	C2800	C2560	C2550	C2528	C2527	C2526	C2524	C2523	C2521	C2513	C2511	C241	C240	C23	C221	C220	C211	C2100	C204	C202	C201	C1930	C1827	C1823	C1810	C17	C169	C164	C1600	C160	C16	C1511	C1510	C143	C14	C123	C1224	C122	C1200	C12	C118	C114	C112	C110	C11	C10	_W303	_P303	_C303	__pk_sample_id	C8364	W8364	P8364	P8365	W8365	C8365	C8600	P8600	W8600	W8602	P8602	C8602	C8608	P8608	W8608	W8609	P8609	C8609	C8610	P8610	W8610	W8611	P8611	C8611	C8612	P8612	W8612	W8613	P8613	C8613	C8614	P8614	W8614	W8616	P8616	C8616	C8617	P8617	W8617	W8618	P8618	C8618	C8619	P8619	W8619	W8620	P8620	C8620	C8621	P8621	W8621	W8623	P8623	C8623	C8625	P8625	W8625	W8626	P8626	C8626	C8627	P8627	W8627	W8628	P8628	C8628	C8629	P8629	W8629	W8630	P8630	C8630	C8631	P8631	W8631	W8632	P8632	C8632	C8633	P8633	W8633	W8634	P8634	C8634	C8635	P8635	W8635	W8636	P8636	C8636	C8637	P8637	W8637	W8638	P8638	C8638	W8639	C8639	P8639	W8640	P8640	C8640	C8641	P8641	W8641	W8642	P8642	C8642	C8643	P8643	W8643	W8644	P8644	C8644	C8645	P8645	W8645	W8646	P8646	C8646	C8647	P8647	W8647	W8648	P8648	C8648	C8649	P8649	W8649	W8650	P8650	C8650	C8651	P8651	W8651	TCsponge	TWsponge	TPsponge	TCsponge2	TWsponge2	TPsponge2	W205	C205	P205	P6114	W6114	C6114	C8347	W8347	P8347	P8346	W8346	C8346	C8348	W8348	P8348	P6101	W6101	C6101	C6131	W6131	P6131	P6129	W6129	C6129	P619	C619	W619	W2893	P2893	C2893
																																			8							4.96																								2.8	5.01					0.51																																0.04					0.19							8.47				0.03		4.62					2.4																				1.83														0.97																																				0.78		0.03			8.32						4.96	1.83				0.97	0.78	0.04		GC267	2		1			1						1	1				1	1	1	1		9/24/2019 8:15				1			38						49	14				6	37	1	1																																							1							1																								1	1					1																																1					1							1				1		1					1																		1		1														1																																				1		Measure Fish	0	1		G19_GC267F	GC267F			9/24/2019			GPnum																																											411							49																								21	13					4																																1					1							100				1		100					24																		1		13														6																																				37				51FF4F0D-9A20-45EB-9346-24BDBB65249E																																																																																																																																																																											
																																			0.54																						0.05		70.7							0.11	1.06																																										0.88							10.73				0.1		4.33					4.93																				0.22						0.28								0.4																																				0.09		0.1			71.87		0.05					0.22				0.68	0.09			GC256	3		1			1		1					1				1	1				9/24/2019 8:59				2			5		1					2				5	9																																									1																						1		1							1	1																																										1							1				1		1					1																				1						1								1																																				1		Measure Fish	0	1		G19_GC256F	GC256F			9/24/2019			GPnum																																											35																						1									2	3																																										4							70				2		82					38																				2						4								1																																				9				90D53C70-8CA1-4D0B-BBC3-802E3F94D308																																																																																																																																																																											
																				2.04														0.48																						0.01											8.42				1.33																																																								2.89																																																																						0.4					9.75		0.01										0.4			GC254	4					1		1										1				9/24/2019 10:07							52		5										2																										1														1																						1											1				1																																																								1																																																																						1		Measure Fish	0	1		G19_GC254F	GC254F			9/24/2019						Code																									1														1																						5											34				18																																																								53																																																																						2				3C8A9988-AEBD-4C77-9D66-7BE5D397DBB9																																																																																																																																																																											
																																		0.39																											0.13					0.76	0.58				6.74															0.13																		0.08									0.09														0.61																0.02				0.29																																																		0.21					8.08				0.13			0.31					0.21	0.17		GC276	5					1				1			1					1	1	1		9/24/2019 11:11							313				2			2					4	1	2																																						1										1																	1					1	1				1															1																		1									1														1																1				1																																																		1		Measure Fish	0	1		G19_GC276F	GC276F			9/24/2019			GPnum																																										1										1																	1					8	3				302															2																		1									1														18																1				1																																																		4				1435D876-0D86-4E6C-95B4-1A9532ACBE24																																																																																																																																																																											
																																																																							12.4																																	0.64																							1.86																																										0.01																												0.06					12.4												0.06	0.64		Gc266	6					1												1	1	1		9/24/2019 11:51							507												1	5	5																																																																											1																																	1																							1																																										1																												1		Measure Fish	0	1		G19_GC266F	Gc266F			9/24/2019		TN																																																																																507																																	5																							15																																										13																												1				57E84038-1A27-44F3-A86E-4D6CCD0ED4DA																																																																																																																																																																											
																																																								0.001										0.12	0.27				21.43																																																								2.25																																																0.1																											21.82		0.001													GC277	7					1		1														9/24/2019 13:33							1035		4																																																																								1										1	1				1																																																								1																																																1																								Measure Fish	0	1		G19_GC277F	GC277F			9/24/2019			GPnum																																																																4										1	2				1032																																																								45																																																2																										35AF6CE0-E544-4EED-BC17-77D3BC85D319																																																																																																																																																																											
																																																																		0.43	0.2				8.61																																																								3.5																																																																											9.24															GC284	8					1																9/24/2019 15:33							511																																																																																				1	1				1																																																								1																																																																								Measure Fish	0	1		G19_GC284F	GC284F			9/24/2019			GPnum																																																																										5	1				505																																																								19																																																																										E4513EDA-CB5B-4BE1-AB26-33E7D82F7DAC																																																																																																																																																																											
																																																																		0.28															0.4																																		0.3	1.87						4.7					1.55																				0.21							96.46							0.22																																				1.22					0.28							0.21				0.22	1.22			GC294	9					1							1				1	1				9/24/2019 16:24							4							2				2	40																																																																								1															1																																		1	1						1					1																				1														1																																				1		Measure Fish	0	1		G19_GC294F	GC294F			9/24/2019			GPnum																																																																										4															7																																		3	22						97					27																				2							388							2																																				40				27F90172-215D-41C3-8F46-667487154936																																																																																																																																																																											
																																										0.21																			1.54																				5.36																												0.15							0.62						0.025					0.2							0.13												3.5	5.87							19.78		0.02																																				0.43					2.74											0.21	9.37				0.02	3.17			GC301	10											1	1				1	1				9/24/2019 18:06													2	20				1	71																																						1										1																			1																				1																												1							1						1					1							1									1			1	1							1		1																																				1					1		Measure Fish	0	1		G19_GC301F	GC301F			9/24/2019			GPnum																																								1										2																			16																				46																												1							5						1					1							1									4			5	11							64		1																																				2					69				8EB2E6AE-DE62-470B-AA12-A9AD2DCC7C9F																																																																																																																																																																											
																																																																			0.94																																																					0.2				4.12			4.86																										0.001																		0.08	3.79														0.42					5.27		0.12						0.2			0.94			3.87					5.69			0.001				GC340	1		1			1			1					1			1					9/25/2019 6:58				10			1			22					37			1																																																																										1																																																					1				1			1																										1																		1	1														1					1		1						Measure Fish	0	1		G19_GC340F	GC340F			9/25/2019			GPnum																																																																											1																																																					10				26			99																										1																		1	21														4					33		2								ED59002C-E5A0-4B44-B673-C15CF7848850																																																																																																																																																																											
																									0.1									0.26								3.32						3.21												0.27						0.13																																											0.05															2.03			13.54																			0.37										0.05																0.67																									2.836					3.34			0.67			3.32	0.37			0.27	0.05	2.836			GC317	2					1			1			1	1			1	1	1				9/25/2019 7:58							19			3			73	1			7	1	32																															1									1								1						1												1						1																																											1															1			1																			1										1																1																									1		Measure Fish	0	1		G19_GC317F	GC317F			9/25/2019			GPnum																																	1									2								73						15												7						4																																											1															3			13																			1										1																3																									32				51176EB0-9875-42EE-A955-0ACD000A18A5																																																																																																																																																																											
																																										0.47																								0.1	0.1																																																												16.7																		0.12																											0.16																									0.96					0.2			0.16			0.47	0.12					0.96			GC311	3					1			1			1	1					1				9/25/2019 11:52							2			1			14	1					26																																																1																								1	1																																																												1																		1																											1																									1		Measure Fish	0	1		G19_GC311F	GC311F			9/25/2019																																																					14																								1	1																																																												260																		1																											1																									26				E16EBE56-A544-496A-AED1-F81577D37DB4																																																																																																																																																																											
																																										3.9																														0.15																																																				2			4.63																										0.04																		0.24	1.9																			0.35						1.48					0.15			2.14			3.9		0.35			0.04	1.48			GC339	4					1			1			1		1			1	1				9/25/2019 12:22							1			11			68		1			2	4																																																1																														1																																																				1			1																										1																		1	1																			1						1		Measure Fish	0	1		G19_GC339F	GC339F			9/25/2019			GPnum																																																		68																														1																																																				6			55																										2																		2	9																			1						4				67BA32EE-301D-4310-ACFF-4657BFF4E08A																																																																																																																																																																											
																																										1.14						1.21												0.05												0.05																																				0.03												0.05				1.43			4.47							1.05											0.03																											0.43																									0.03		0.05			1.26			0.43			1.14	0.03			0.05		0.03			GC329	5		1			1			1			1	1			1		1				9/25/2019 15:40				1			5			6			27	1			1		2																																																1						1												1												1																																				1												1				1			1							1											1																											1																									1		Measure Fish	0	1		G19_GC329F	GC329F			9/25/2019			GPnum																																																		27						4												1												1																																				1												1				3			63							1											1																											6																									2				19BB6F71-351C-4AF9-A556-688F02120C4F																																																																																																																																																																											
